Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0805_2012Metric,-52.3875,36.5125,45,bottom
C2,22p,C_0805_2012Metric,-50.293416,41.667098,-45,bottom
C3,1uf,C_0805_2012Metric,-39.892449,45.749182,90,bottom
C4,10uF,C_0805_2012Metric,-41.927735,55.46875,0,bottom
C5,0.1uf,C_0805_2012Metric,-45.366099,32.920421,-45,bottom
C6,0.1uf,C_0805_2012Metric,-45.781226,42.2396,45,bottom
C7,0.1uf,C_0805_2012Metric,-33.96249,34.545647,90,bottom
C8,0.1uf,C_0805_2012Metric,-33.942095,40.499556,-90,bottom
C9,4.7uF,C_0805_2012Metric,-44.61383,73.005,90,bottom
D_SPACE1,D,D_SOD-123,-12.627344,65.88125,90,bottom
D_SPACE2,D,D_SOD-123,-31.676797,65.88125,90,bottom
D_SPACE3,D,D_SOD-123,-50.72625,65.88125,90,bottom
D_SPACE4,D,D_SOD-123,-69.775703,65.88125,90,bottom
D_SPACE5,D,D_SOD-123,-88.825156,65.88125,90,bottom
D_SPACE6,D,D_SOD-123,-107.874609,65.88125,90,bottom
D_SPACE7,D,D_SOD-123,-126.924062,65.88125,90,bottom
D_SPACE8,D,D_SOD-123,-145.973515,65.88125,90,bottom
D_SPACE9,D,D_SOD-123,-165.022968,65.88125,90,bottom
D_SPACE10,D,D_SOD-123,-184.072421,65.88125,90,bottom
D_SPACE11,D,D_SOD-123,-203.121881,65.88125,90,bottom
D_SPACE12,D,D_SOD-123,-12.627344,46.83125,90,bottom
D_SPACE13,D,D_SOD-123,-31.676797,46.83125,90,bottom
D_SPACE14,D,D_SOD-123,-50.72625,46.83125,90,bottom
D_SPACE15,D,D_SOD-123,-69.775703,46.83125,90,bottom
D_SPACE16,D,D_SOD-123,-88.868752,46.83125,90,bottom
D_SPACE17,D,D_SOD-123,-107.91094,46.83125,90,bottom
D_SPACE18,D,D_SOD-123,-126.953128,46.83125,90,bottom
D_SPACE19,D,D_SOD-123,-145.995316,46.83125,90,bottom
D_SPACE20,D,D_SOD-123,-165.037504,46.83125,90,bottom
D_SPACE21,D,D_SOD-123,-184.079692,46.83125,90,bottom
D_SPACE22,D,D_SOD-123,-203.121881,46.83125,90,bottom
D_SPACE23,D,D_SOD-123,-12.627344,27.78125,90,bottom
D_SPACE24,D,D_SOD-123,-31.676797,27.78125,90,bottom
D_SPACE25,D,D_SOD-123,-50.72625,27.78125,90,bottom
D_SPACE26,D,D_SOD-123,-69.775703,27.78125,90,bottom
D_SPACE27,D,D_SOD-123,-88.868752,27.78125,90,bottom
D_SPACE28,D,D_SOD-123,-107.91094,27.78125,90,bottom
D_SPACE29,D,D_SOD-123,-126.953128,27.78125,90,bottom
D_SPACE30,D,D_SOD-123,-145.995316,27.78125,90,bottom
D_SPACE31,D,D_SOD-123,-165.037504,27.78125,90,bottom
D_SPACE32,D,D_SOD-123,-184.079692,27.78125,90,bottom
D_SPACE33,D,D_SOD-123,-203.121881,27.78125,90,bottom
D_SPACE34,D,D_SOD-123,-30.95625,8.73125,90,bottom
D_SPACE35,D,D_SOD-123,-50.00625,8.73125,90,bottom
D_SPACE36,D,D_SOD-123,-97.63125,8.73125,90,bottom
D_SPACE37,D,D_SOD-123,-107.865188,8.73125,90,bottom
D_SPACE38,D,D_SOD-123,-111.91875,8.73125,90,bottom
D_SPACE39,D,D_SOD-123,-159.54375,8.73125,90,bottom
D_SPACE40,D,D_SOD-123,-178.59375,8.73125,90,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,-41.347735,59.882965,-90,bottom
J1,AVR-ISP-6,IDC-Header_2x03_P2.54mm_Vertical,-78.745,55.871394,90,bottom
R1,10k,R_0805_2012Metric,-50.942718,59.523977,180,bottom
R2,10k,R_0805_2012Metric,-36.519124,32.098845,90,bottom
SW1,SW_PUSH,SW_SPST_SKQG_WithoutStem,-57.150001,57.150001,0,bottom
U1,SRV05-4,SOT-23-6,-38.1,64.1375,0,bottom
U2,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,-39.352071,38.129034,-90,bottom
UR1,22,R_0805_2012Metric,-39.1,54.76875,-90,bottom
UR2,22,R_0805_2012Metric,-37.1,54.76875,-90,bottom
UR3,5.1k,R_0805_2012Metric,-25.4,73.025,-90,bottom
UR4,5.1k,R_0805_2012Metric,-27.78125,73.025,-90,bottom
UR5,1M,R_0805_2012Metric,-46.99508,73.005,-90,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,-38.1,78.007312,0,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,-48.477761,38.308992,135,bottom
