Ref,Val,Package,PosX,PosY,Rot,Side
"K_SPACE1","KEYSW","MXOnly-1U-NoLED",9.525000,66.675000,0.000000,top
"K_SPACE2","KEYSW","MXOnly-1U-NoLED",28.575000,66.675000,0.000000,top
"K_SPACE3","KEYSW","MXOnly-1U-NoLED",47.625000,66.675000,0.000000,top
"K_SPACE4","KEYSW","MXOnly-1U-NoLED",66.675000,66.675000,0.000000,top
"K_SPACE5","KEYSW","MXOnly-1U-NoLED",85.725000,66.675000,0.000000,top
"K_SPACE6","KEYSW","MXOnly-1U-NoLED",104.775000,66.675000,0.000000,top
"K_SPACE7","KEYSW","MXOnly-1U-NoLED",123.825000,66.675000,0.000000,top
"K_SPACE8","KEYSW","MXOnly-1U-NoLED",142.875000,66.675000,0.000000,top
"K_SPACE9","KEYSW","MXOnly-1U-NoLED",161.925000,66.675000,0.000000,top
"K_SPACE10","KEYSW","MXOnly-1U-NoLED",180.975000,66.675000,0.000000,top
"K_SPACE11","KEYSW","MXOnly-1U-NoLED",200.025000,66.675000,0.000000,top
"K_SPACE12","KEYSW","MXOnly-1U-NoLED",9.525000,47.625000,0.000000,top
"K_SPACE13","KEYSW","MXOnly-1U-NoLED",28.575000,47.625000,0.000000,top
"K_SPACE14","KEYSW","MXOnly-1U-NoLED",47.625000,47.625000,0.000000,top
"K_SPACE15","KEYSW","MXOnly-1U-NoLED",66.675000,47.625000,0.000000,top
"K_SPACE16","KEYSW","MXOnly-1U-NoLED",85.725000,47.625000,0.000000,top
"K_SPACE17","KEYSW","MXOnly-1U-NoLED",104.775000,47.625000,0.000000,top
"K_SPACE18","KEYSW","MXOnly-1U-NoLED",123.825000,47.625000,0.000000,top
"K_SPACE19","KEYSW","MXOnly-1U-NoLED",142.875000,47.625000,0.000000,top
"K_SPACE20","KEYSW","MXOnly-1U-NoLED",161.925000,47.625000,0.000000,top
"K_SPACE21","KEYSW","MXOnly-1U-NoLED",180.975000,47.625000,0.000000,top
"K_SPACE22","KEYSW","MXOnly-1U-NoLED",200.025000,47.625000,0.000000,top
"K_SPACE23","KEYSW","MXOnly-1U-NoLED",9.525000,28.575000,0.000000,top
